Stock,Buyer,Seller,Qty
LGIL,22,21,50
RSDC,43,17,33
RSDC,16,17,25
RSDC,45,17,15
GIC,39,52,30
GLH,46,22,50
PICL,7,32,8
GRDBL,50,16,75
EDBL,48,58,22
EDBL,48,49,40
TRH,22,48,100
RLFL,38,56,20
LGIL,41,6,50
GHL,39,34,20
UIC,58,58,24
MNBBL,42,57,104
MNBBL,42,54,226
SAPDBL,26,26,50
SHINE,45,44,200
LLBS,19,50,32
UPCL,52,34,25
SADBL,38,49,53
SADBL,38,21,747
MEGA,45,29,121
LBBL,58,46,23
SHINE,5,34,100
SHEL,50,35,10
BPCL,42,40,100
SHIVM,49,8,50
GHL,39,26,20
RLI,49,7,10
SHINE,49,34,224
SINDU,20,42,50
CHDC,59,59,10
HPPL,59,41,20
HDHPC,36,16,500
UPPER,52,17,25
UPPER,42,17,35
UPPER,28,17,20
UPPER,36,17,20
UPPER,58,17,250
UPPER,39,17,70
UPPER,58,17,80
SHINE,49,46,100
GBIME,13,58,90
GBIME,13,52,60
MHNL,50,36,30
SHIVM,49,56,10
PIC,33,17,381
GBBL,28,14,40
KKHC,39,42,50
BFC,38,57,36
SANIMA,44,57,12
BFC,29,57,264
MDB,8,53,100
MDB,8,14,95
MBL,49,22,115
NIFRA,48,45,40
AHPC,36,32,77
AHPC,56,32,198
AHPC,38,32,165
AHPC,6,32,250
AHPC,38,32,10
SFCL,45,39,100
CFCL,20,34,100
GLH,44,42,20
ICFC,6,16,25
GLH,58,42,290
GLH,56,42,100
CIT,16,29,25
CIT,16,44,51
GLH,49,42,90
SADBL,38,21,100
GIC,39,29,10
CHDC,59,26,10
NHPC,49,34,84
MNBBL,1,54,500
MNBBL,1,54,274
SHL,57,50,400
SHL,57,50,500
SHL,39,50,500
SHL,40,50,500
SHL,53,50,100
UPPER,58,17,20
AHPC,42,52,210
API,58,55,150
API,50,55,200
API,41,55,50
UPPER,39,8,50
GBIME,41,52,40
SBCF,49,40,140
LBBL,17,54,100
GBBL,28,54,50
GBBL,28,42,20
GBBL,28,49,130
GBBL,28,21,10
GBBL,28,44,450
CHCL,21,45,250
NIFRA,54,50,10
NIFRA,54,43,30
NIFRA,54,42,60
SADBL,38,50,400
SADBL,58,50,55
SADBL,45,50,100
SADBL,58,50,10
SADBL,48,50,100
MDB,59,14,963
MDB,22,14,37
HGI,42,48,639
HGI,42,48,25
MNBBL,1,1,226
MNBBL,48,1,74
RHPL,58,18,20
NMB,13,49,100
NMB,3,28,358
NMB,10,28,500
NMB,17,28,50
NMB,3,28,150
NMB,35,28,150
NMB,51,28,59
NMB,45,28,233
NLICL,32,52,115
NLICL,32,52,225
NLICL,57,52,160
AHPC,32,52,494
AHPC,32,48,100
AHPC,32,6,406
BOKL,55,45,100
BOKL,32,45,20
BOKL,46,45,134
NIFRA,48,34,30
BOKL,57,22,175
RLI,49,17,10
GBBL,43,44,150
BFC,29,7,200
SANIMA,44,46,71
SANIMA,44,49,50
SANIMA,44,14,129
SRBL,34,11,100
SRBL,34,47,80
SRBL,34,42,20
SRBL,34,54,50
SRBL,34,48,200
SRBL,34,35,100
SRBL,34,29,35
NBL,37,58,55
GBBL,6,44,100
NICL,57,56,35
NICL,57,49,45
FMDBL,53,45,10
RLI,19,48,100
SADBL,48,41,300
DDBL,32,14,20
DDBL,32,22,30
NLIC,13,48,57
NLIC,52,48,10
NLIC,52,48,50
NLIC,21,48,18
NLIC,57,48,20
NLIC,22,48,200
NLIC,56,48,20
NLIC,21,48,300
NLIC,36,48,100
NLIC,35,48,100
NLIC,18,48,100
NLIC,29,48,50
NIL,14,58,10
HIDCL,21,58,100
SPDL,42,6,130
CCBL,57,58,100
SHL,41,41,100
SIFC,29,8,144
SIFC,29,44,605
CBL,26,57,50
CBL,26,34,50
SHINE,49,55,176
KSBBL,20,28,100
HIDCL,36,38,62
HIDCL,36,53,100
HIDCL,36,45,200
HIDCL,36,41,20
HIDCL,36,58,38
HIDCL,36,16,100
HIDCL,36,45,25
HIDCL,36,51,205
SHPC,43,33,186
SHPC,50,33,314
NICLBSL,41,14,20
GRDBL,4,16,200
KSBBL,20,20,20
SHINE,19,35,301
SHINE,38,35,50
SHINE,33,35,149
SHINE,47,55,24
SHINE,47,28,250
SHINE,47,57,300
SHINE,47,6,26
SHINE,47,42,100
NLG,6,54,30
NLG,6,17,100
NLG,6,52,100
NLG,6,13,100
NLG,6,25,140
NLG,6,47,200
NLG,6,25,200
NLG,6,6,30
