0,1,2,3,4,5
SBL,10,29,300,,
SAHAS,28,34,10,,
AKJCL,50,47,100,,
MLBL,45,1,560,,
JFL,38,35,25,,
JFL,38,50,125,,
SLI,42,21,10,,
NUBL,48,4,80,,
NBB,52,36,200,,
NABIL,32,10,10,,
LBL,53,39,72,,
HURJA,14,50,10,,
NABIL,4,10,100,,
ICFC,52,28,50,,
MNBBL,19,36,300,,
SAHAS,28,17,10,,
SAHAS,28,47,10,,
SAHAS,28,20,10,,
NABIL,1,10,122,,
NRIC,57,58,50,,
NABIL,58,10,30,,
PLI,38,21,10,,
NGPL,56,41,10,,
AHPC,42,16,30,,
SAHAS,28,39,10,,
MLBSL,28,36,10,,
SAHAS,28,22,10,,
UMHL,36,56,278,,
KSBBL,36,57,50,,
API,49,42,500,,
API,49,21,100,,
NLG,14,45,30,,
NABIL,48,10,10,,
MLBL,45,17,100,,
LUK,43,28,1000,,
SAHAS,28,58,10,,
AHPC,58,33,30,,
SSHL,14,49,400,,
SSHL,14,41,100,,
LEMF,3,52,100,,
MKJC,16,35,10,,
MKJC,16,7,10,,
MKJC,16,49,10,,
NABIL,57,42,100,,
GBBL,42,39,410,,
NABIL,57,42,20,,
NIFRA,47,21,60,,
SAHAS,28,58,10,,
ULI,45,36,50,,
SIL,16,37,50,,
ULI,50,36,10,,
SIL,17,37,250,,
ULI,21,36,90,,
NIFRA,47,16,145,,
KSBBL,19,57,235,,
SAHAS,28,49,10,,
SIL,17,18,50,,
NIFRA,47,29,60,,
NIFRA,47,56,50,,
NIFRA,47,43,50,,
SAHAS,28,47,10,,
NIFRA,47,58,101,,
SAHAS,28,35,10,,
SAHAS,28,16,10,,
AKPL,51,13,20,,
NIFRA,19,58,20,,
SAHAS,28,35,10,,
MLBL,16,34,135,,
MLBL,51,34,100,,
MLBL,38,34,35,,
NICLBSL,46,21,10,,
KSBBL,19,59,120,,
NIFRA,42,17,30,,
NIFRA,46,17,30,,
NHPC,38,6,25,,
NHPC,57,6,80,,
NHPC,58,6,100,,
NHPC,25,6,20,,
AKJCL,43,47,50,,
NABIL,39,10,150,,
BPCL,28,58,181,,
GUFL,28,28,200,,
SHL,54,14,100,,
NGPL,56,43,36,,
NBB,11,36,50,,
KSBBL,19,6,135,,
SAHAS,28,44,10,,
SAHAS,28,55,10,,
MLBSL,28,4,10,,
MLBSL,28,47,10,,
UPPER,41,42,50,,
AKPL,58,57,20,,
SAHAS,28,49,10,,
KRBL,39,13,951,,
KRBL,39,43,54,,
JLI,59,21,10,,
CBL,58,19,10,,
NABIL,45,10,30,,
SAHAS,28,18,10,,
NUBL,48,4,20,,
NUBL,48,45,100,,
NUBL,48,48,20,,
LBBL,19,58,100,,
NIFRA,17,58,879,,
NIFRA,17,58,200,,
NIFRA,17,57,100,,
