Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,1,50.0,ACLBSL,19,100
ACLBSL,14,100.0,ACLBSL,22,25
ACLBSL,17,100.0,ACLBSL,33,265
ACLBSL,21,35.0,ACLBSL,36,20
ACLBSL,36,20.0,ACLBSL,38,10
ACLBSL,39,10.0,ACLBSL,39,11
ACLBSL,41,80.0,ACLBSL,42,135
ACLBSL,42,100.0,ACLBSL,47,260
ACLBSL,43,35.0,ACLBSL,50,20
ACLBSL,45,20.0,ACLBSL,52,10
ACLBSL,46,200.0,ACLBSL,53,200
ACLBSL,49,40.0,ACLBSL,57,10
ACLBSL,58,265.0,ADBL,1,1044
ACLBSL,7,11.0,ADBL,10,798
ADBL,1,620.0,ADBL,11,100
ADBL,10,130.0,ADBL,14,2862
ADBL,11,980.0,ADBL,16,100
ADBL,13,1149.0,ADBL,17,3651
ADBL,14,454.0,ADBL,19,108
ADBL,16,500.0,ADBL,21,116
ADBL,17,560.0,ADBL,22,1255
ADBL,18,560.0,ADBL,25,665
ADBL,19,707.0,ADBL,26,1024
ADBL,20,100.0,ADBL,29,420
ADBL,21,3425.0,ADBL,3,644
ADBL,22,1875.0,ADBL,32,200
ADBL,25,5445.0,ADBL,33,1985
ADBL,26,425.0,ADBL,34,12306
ADBL,28,188.0,ADBL,35,290
ADBL,29,3103.0,ADBL,36,10
ADBL,3,1201.0,ADBL,37,20
ADBL,32,935.0,ADBL,38,2550
ADBL,33,1096.0,ADBL,39,1354
ADBL,34,1755.0,ADBL,4,374
ADBL,35,5070.0,ADBL,41,3521
ADBL,36,980.0,ADBL,42,354
ADBL,37,1600.0,ADBL,44,220
ADBL,38,1793.0,ADBL,45,840
ADBL,39,2516.0,ADBL,46,400
ADBL,4,860.0,ADBL,47,19176
ADBL,40,200.0,ADBL,48,100
ADBL,41,1845.0,ADBL,49,5200
ADBL,42,3907.0,ADBL,5,136
ADBL,43,1171.0,ADBL,51,1906
ADBL,44,295.0,ADBL,52,180
ADBL,45,2429.0,ADBL,53,100
ADBL,46,395.0,ADBL,55,983
ADBL,47,460.0,ADBL,56,100
ADBL,48,110.0,ADBL,57,1273
ADBL,49,1297.0,ADBL,58,3032
ADBL,5,1100.0,ADBL,59,1150
ADBL,50,5426.0,ADBL,6,2229
ADBL,51,400.0,ADBL,7,95
ADBL,52,1557.0,AHPC,1,300
ADBL,53,545.0,AHPC,11,50
ADBL,54,944.0,AHPC,13,1170
ADBL,55,495.0,AHPC,14,6240
ADBL,56,781.0,AHPC,16,4650
ADBL,57,3573.0,AHPC,17,210
ADBL,58,4623.0,AHPC,19,351
ADBL,59,750.0,AHPC,20,41254
ADBL,6,1771.0,AHPC,21,780
ADBL,7,170.0,AHPC,22,230
ADBL,8,600.0,AHPC,25,1120
AHPC,1,550.0,AHPC,26,1995
AHPC,11,500.0,AHPC,28,7817
AHPC,13,1300.0,AHPC,29,250
AHPC,14,3156.0,AHPC,3,1099
AHPC,16,3570.0,AHPC,32,1830
AHPC,17,1573.0,AHPC,33,2785
AHPC,18,180.0,AHPC,34,2740
AHPC,19,6385.0,AHPC,35,14115
AHPC,20,4098.0,AHPC,36,2000
AHPC,21,4235.0,AHPC,38,1960
AHPC,22,1894.0,AHPC,39,17740
AHPC,25,1635.0,AHPC,4,50
AHPC,26,3320.0,AHPC,40,100
AHPC,28,3716.0,AHPC,41,2435
AHPC,29,1173.0,AHPC,42,2300
AHPC,3,2561.0,AHPC,43,1000
AHPC,32,900.0,AHPC,44,3620
AHPC,33,7920.0,AHPC,45,14762
AHPC,34,21236.0,AHPC,46,800
AHPC,35,4824.0,AHPC,47,130
AHPC,36,200.0,AHPC,48,2425
AHPC,37,3050.0,AHPC,49,1878
AHPC,38,4290.0,AHPC,5,1500
AHPC,39,4947.0,AHPC,50,1980
AHPC,4,1750.0,AHPC,51,1849
AHPC,40,60.0,AHPC,52,2650
AHPC,41,4750.0,AHPC,53,250
AHPC,42,5240.0,AHPC,54,1125
AHPC,43,150.0,AHPC,55,200
AHPC,44,896.0,AHPC,56,600
AHPC,45,7338.0,AHPC,57,5845
AHPC,46,1300.0,AHPC,58,8607
AHPC,47,170.0,AHPC,59,850
AHPC,48,2280.0,AHPC,6,5370
AHPC,49,13471.0,AHPC,7,1000
