Stock,Buyer,Qty,Stock,Seller,Qty
ACLBSL,1,40.0,ACLBSL,1,100
ACLBSL,11,50.0,ACLBSL,11,100
ACLBSL,17,209.0,ACLBSL,14,81
ACLBSL,19,70.0,ACLBSL,16,60
ACLBSL,21,100.0,ACLBSL,17,10
ACLBSL,22,10.0,ACLBSL,22,60
ACLBSL,25,10.0,ACLBSL,25,10
ACLBSL,26,50.0,ACLBSL,3,60
ACLBSL,29,125.0,ACLBSL,33,310
ACLBSL,34,55.0,ACLBSL,35,150
ACLBSL,35,20.0,ACLBSL,39,10
ACLBSL,37,100.0,ACLBSL,40,10
ACLBSL,38,110.0,ACLBSL,41,80
ACLBSL,4,370.0,ACLBSL,42,100
ACLBSL,40,80.0,ACLBSL,44,10
ACLBSL,41,20.0,ACLBSL,45,10
ACLBSL,42,30.0,ACLBSL,47,85
ACLBSL,45,431.0,ACLBSL,48,120
ACLBSL,47,111.0,ACLBSL,51,50
ACLBSL,48,10.0,ACLBSL,52,470
ACLBSL,49,10.0,ACLBSL,54,20
ACLBSL,55,20.0,ACLBSL,55,30
ACLBSL,57,140.0,ACLBSL,57,251
ACLBSL,58,76.0,ACLBSL,58,50
ACLBSL,7,15.0,ACLBSL,6,10
ADBL,1,5137.0,ACLBSL,7,15
ADBL,10,4983.0,ADBL,1,1555
ADBL,11,293.0,ADBL,10,300
ADBL,13,1024.0,ADBL,11,1600
ADBL,14,2141.0,ADBL,13,567
ADBL,16,1372.0,ADBL,14,19339
ADBL,17,8195.0,ADBL,16,1774
ADBL,19,370.0,ADBL,17,1588
ADBL,20,2189.0,ADBL,18,50
ADBL,21,3346.0,ADBL,19,549
ADBL,22,352.0,ADBL,20,12166
ADBL,25,55.0,ADBL,21,1075
ADBL,26,1130.0,ADBL,22,2260
ADBL,28,1340.0,ADBL,25,301
ADBL,29,2705.0,ADBL,26,1679
ADBL,3,1152.0,ADBL,28,1126
ADBL,32,1960.0,ADBL,29,6361
ADBL,33,474.0,ADBL,3,1100
ADBL,34,12209.0,ADBL,32,1882
ADBL,35,1580.0,ADBL,33,15725
ADBL,36,650.0,ADBL,34,5176
ADBL,37,4025.0,ADBL,35,2208
ADBL,38,8350.0,ADBL,36,1255
ADBL,39,250.0,ADBL,37,300
ADBL,4,375.0,ADBL,38,1974
ADBL,40,4917.0,ADBL,39,488
ADBL,41,3142.0,ADBL,4,1029
ADBL,42,12548.0,ADBL,40,192
ADBL,43,680.0,ADBL,41,1480
ADBL,44,2266.0,ADBL,42,4006
ADBL,45,5866.0,ADBL,43,3515
ADBL,46,164.0,ADBL,44,3162
ADBL,47,1200.0,ADBL,45,4029
ADBL,48,3020.0,ADBL,46,150
ADBL,49,4030.0,ADBL,47,865
ADBL,5,50.0,ADBL,48,950
ADBL,50,4150.0,ADBL,49,4009
ADBL,51,1725.0,ADBL,5,200
ADBL,52,6399.0,ADBL,50,33133
ADBL,53,459.0,ADBL,51,2744
ADBL,54,880.0,ADBL,52,906
ADBL,55,250.0,ADBL,53,2860
ADBL,56,8227.0,ADBL,54,12461
ADBL,57,5173.0,ADBL,55,3706
ADBL,58,57631.0,ADBL,56,2010
ADBL,59,1500.0,ADBL,57,7194
ADBL,6,2759.0,ADBL,58,2434
ADBL,7,665.0,ADBL,59,1713
ADBL,8,1420.0,ADBL,6,5963
ADBLD83,53,25.0,ADBL,7,2418
ADBLD83,8,75.0,ADBL,8,1400
AHPC,1,4694.0,ADBL,D01,9851
AHPC,10,820.0,ADBLD83,48,100
AHPC,11,520.0,AHPC,1,5099
AHPC,13,620.0,AHPC,10,1320
AHPC,14,15879.0,AHPC,11,465
AHPC,16,6930.0,AHPC,13,2024
AHPC,17,5945.0,AHPC,14,3600
AHPC,18,5900.0,AHPC,16,5100
AHPC,19,5400.0,AHPC,17,11585
AHPC,20,8165.0,AHPC,18,475
AHPC,21,10110.0,AHPC,19,1940
AHPC,22,3702.0,AHPC,20,23472
AHPC,25,2220.0,AHPC,21,3144
AHPC,26,10985.0,AHPC,22,11544
AHPC,28,11150.0,AHPC,25,1890
AHPC,29,2537.0,AHPC,26,11620
AHPC,3,7745.0,AHPC,28,5650
AHPC,32,7050.0,AHPC,29,3354
AHPC,33,14201.0,AHPC,3,14288
AHPC,34,8600.0,AHPC,32,5562
AHPC,35,13274.0,AHPC,33,4176
AHPC,36,1603.0,AHPC,34,21177
AHPC,37,4372.0,AHPC,35,21744
AHPC,38,19910.0,AHPC,36,3163
AHPC,39,7000.0,AHPC,37,2750
AHPC,4,2223.0,AHPC,38,12425
AHPC,40,3360.0,AHPC,39,14630
AHPC,41,9706.0,AHPC,4,980
AHPC,42,6094.0,AHPC,40,1270
AHPC,43,9127.0,AHPC,41,3323
AHPC,44,2055.0,AHPC,42,4620
AHPC,45,16042.0,AHPC,43,1355
AHPC,46,4257.0,AHPC,44,3880
AHPC,47,7232.0,AHPC,45,17228
AHPC,48,15669.0,AHPC,46,3380
AHPC,49,15515.0,AHPC,47,1340
AHPC,5,4581.0,AHPC,48,1875
AHPC,50,2150.0,AHPC,49,16208
AHPC,51,2237.0,AHPC,5,14840
AHPC,52,8949.0,AHPC,50,1042
AHPC,53,2100.0,AHPC,51,5216
AHPC,54,3723.0,AHPC,52,2992
