As of 2022-01-16,1,2,3,4,5
AKPL,50,57,10,,
NSLB,50,45,10,,
NICLBSL,58,34,10,,
RSDC,34,57,20,,
UPCL,10,13,10,,
HGI,10,34,10,,
MMFDB,49,52,10,,
RMDC,49,32,40,,
ICFC,26,41,15,,
JSLBB,54,58,20,,
FOWAD,32,5,10,,
BNT,57,17,10,,
SHIVM,39,19,50,,
SHIVM,43,19,50,,
GLH,5,50,10,,
MFIL,4,57,60,,
MFIL,4,59,240,,
SHINE,4,21,10,,
JLI,13,48,170,,
JLI,13,34,10,,
JLI,13,10,10,,
JLI,13,17,20,,
JLI,13,11,10,,
JLI,13,22,70,,
JLI,13,17,10,,
PMHPL,42,38,60,,
LBBL,42,57,10,,
AKPL,49,42,15,,
NMB,8,42,50,,
RHPL,58,58,450,,
RHPL,7,58,50,,
HDHPC,14,45,10,,
SHIVM,43,48,100,,
SHIVM,43,20,100,,
HDHPC,28,45,10,,
HIDCL,28,43,100,,
SKBBL,11,17,10,,
UPCL,38,53,345,,
UPCL,45,53,55,,
GIMES1,39,56,10000,,
NCCB,56,36,10,,
GIMES1,39,56,4700,,
CHDC,39,4,23,,
CHDC,39,51,34,,
CHDC,39,33,16,,
CHDC,39,4,10,,
CHDC,39,42,360,,
CHDC,39,58,500,,
CHDC,39,5,257,,
CHCL,7,22,361,,
CHCL,7,54,300,,
MFIL,42,7,1100,,
UPPER,33,42,20,,
UPPER,33,55,1000,,
UPPER,33,16,50,,
UPPER,33,26,930,,
SPDL,45,57,20,,
GMFBS,44,45,43,,
GMFBS,33,45,28,,
PMHPL,45,38,50,,
KEF,57,33,1960,,
KEF,57,56,300,,
AHPC,55,57,62,,
UIC,38,5,200,,
UIC,38,34,150,,
GRDBL,38,42,20,,
SBL,48,47,16,,
SBL,48,32,100,,
BPCL,48,17,10,,
SBL,48,6,100,,
BPCL,48,58,55,,
SBL,48,11,240,,
KBL,58,16,64,,
KBL,58,16,36,,
IGI,21,39,100,,
PROFL,50,26,100,,
NABIL,51,48,115,,
NIFRA,42,58,63,,
NIFRA,58,58,50,,
NIFRA,34,58,10,,
NIFRA,38,58,377,,
MDB,39,58,200,,
NIFRA,34,46,20,,
NIFRA,34,51,200,,
NIFRA,34,42,50,,
NIFRA,34,32,100,,
NIFRA,34,47,100,,
NIFRA,34,4,40,,
PIC,58,49,20,,
NIFRA,34,49,500,,
NIFRA,34,41,300,,
NIFRA,34,21,100,,
NIFRA,34,43,40,,
NIFRA,34,41,50,,
MBL,14,38,230,,
MBL,14,38,70,,
NIFRA,34,37,10,,
NIFRA,34,29,50,,
NIFRA,34,26,60,,
NIFRA,34,44,50,,
NIFRA,34,41,60,,
NIFRA,34,35,500,,
MBL,39,34,11,,
NIFRA,34,7,50,,
NIFRA,34,8,100,,
MEGA,34,48,50,,
NIL,11,49,50,,
ULI,1,38,10,,
HPPL,36,39,50,,
GBLBS,58,14,20,,
GBLBS,58,57,120,,
GBLBS,58,48,10,,
AKJCL,58,38,100,,
SICL,58,7,20,,
MLBL,58,45,10,,
NABIL,51,53,41,,
ULI,59,28,30,,
NHPC,11,35,50,,
DDBL,41,5,50,,
NHPC,11,13,50,,
SLCF,1,33,100,,
FOWAD,33,5,10,,
MLBL,34,39,593,,
MLBL,48,39,500,,
MLBL,26,39,100,,
MLBL,46,39,257,,
MLBL,48,39,430,,
UMRH,39,26,10,,
UMRH,39,38,10,,
MLBL,16,39,50,,
ALICL,7,35,100,,
NGPL,3,16,20,,
NGPL,3,32,80,,
PMHPL,36,38,70,,
SHPC,7,54,195,,
SHPC,45,54,805,,
AKPL,49,49,27,,
AKPL,54,49,10,,
AKPL,34,49,30,,
AKPL,35,49,100,,
NICA,D01,49,24,,
AKPL,39,49,173,,
AKPL,57,49,55,,
GBLBS,58,25,10,,
GBLBS,58,22,57,,
RADHI,45,45,440,,
RHPL,58,38,3095,,
NABIL,38,48,50,,
SFCL,57,33,20,,
NHPC,38,13,100,,
SAPDBL,16,40,200,,
NBL,58,16,50,,
SAPDBL,16,48,50,,
SGI,57,19,10,,
GBIME,21,58,190,,
NABIL,51,58,15,,
GUFL,58,34,100,,
RLI,13,41,60,,
UMRH,50,41,10,,
GBBL,26,44,19,,
GBBL,45,44,100,,
MNBBL,42,56,50,,
RMDC,46,32,10,,
SPDL,35,57,341,,
SPDL,35,28,10,,
SPDL,35,47,59,,
SPDL,35,14,250,,
SPDL,35,1,90,,
SPDL,35,41,160,,
SPDL,35,34,90,,
ULI,36,52,27,,
ULI,45,52,30,,
ULI,42,52,403,,
ULI,38,52,140,,
GUFL,35,17,50,,
NGPL,17,32,20,,
SBI,5,39,200,,
SAHAS,19,54,10,,
NLIC,16,13,50,,
NLIC,14,13,200,,
