  12:04:01,1,2,3,4,5
MBJC,10,19,10,,
UNHPL,41,28,500,,
UNHPL,41,28,300,,
UNHPL,36,28,265,,
UNHPL,48,28,70,,
UNHPL,53,28,70,,
UNHPL,1,28,500,,
UNHPL,22,28,230,,
MFIL,42,48,40,,
MFIL,57,48,22,,
SAHAS,25,49,10,,
UPPER,28,45,248,,
UPPER,56,45,200,,
UPPER,58,45,380,,
UPPER,33,45,300,,
UPPER,1,45,460,,
UPPER,14,45,210,,
UPPER,58,45,202,,
MBJC,10,38,10,,
HDL,14,34,50,,
MBJC,10,21,10,,
SJCL,49,21,10,,
NIFRA,54,17,60,,
HDL,58,51,14,,
NFS,51,42,200,,
KBL,48,41,44,,
KBL,8,41,36,,
UPCL,51,19,500,,
CZBIL,10,19,210,,
CCBL,18,34,30,,
MBJC,10,34,10,,
CCBL,18,41,50,,
CCBL,18,35,4533,,
CCBL,18,43,2000,,
AHPC,41,41,2,,
JSLBB,1,17,10,,
NABIL,16,50,30,,
MBJC,10,50,10,,
EBL,38,47,100,,
MLBL,39,45,507,,
MBJC,10,56,10,,
NIFRA,54,26,50,,
GILB,20,17,33,,
PCBL,57,43,15,,
PCBL,35,43,20,,
PCBL,38,43,10,,
SFCL,34,42,24,,
SFCL,58,42,40,,
SFCL,45,42,96,,
SLI,49,42,10,,
SFCL,56,42,40,,
MBJC,10,28,10,,
KSBBL,44,41,23,,
MBJC,10,17,10,,
HDL,46,44,20,,
HDHPC,49,50,60,,
HDHPC,49,50,40,,
KBL,8,39,10,,
UMRH,20,52,10,,
CCBL,45,55,128,,
GHL,19,14,50,,
MBJC,10,58,10,,
MBJC,10,51,10,,
LBBL,54,57,460,,
LBBL,7,57,50,,
PROFL,49,1,10,,
MBJC,10,38,10,,
NRIC,38,56,20,,
BPCL,58,36,50,,
SAHAS,51,21,10,,
GLBSL,41,58,10,,
CZBIL,10,14,240,,
SFCL,56,14,10,,
AHPC,58,56,100,,
AHPC,36,56,250,,
AHPC,45,56,25,,
AHPC,45,56,30,,
KSBBL,44,19,474,,
KSBBL,20,19,100,,
KSBBL,55,19,76,,
AKJCL,26,35,10,,
MBJC,10,34,10,,
NLICL,41,29,100,,
MFIL,57,57,50,,
ULI,49,39,10,,
UMHL,10,56,50,,
MBJC,10,4,10,,
ULI,49,16,10,,
ICFC,52,34,100,,
RADHI,45,17,10,,
RADHI,38,17,50,,
MFIL,57,53,122,,
NBL,1,50,200,,
SAHAS,51,1,10,,
MBJC,10,1,10,,
ACLBSL,26,36,29,,
ACLBSL,6,36,17,,
RHPL,50,21,10,,
LGIL,58,6,100,,
LGIL,57,6,50,,
LGIL,34,6,20,,
MBJC,10,58,10,,
NABIL,16,42,100,,
MLBL,39,35,50,,
API,45,49,66,,
PPCL,6,32,283,,
GLICL,28,32,980,,
PPCL,29,32,117,,
HPPL,38,14,100,,
HPPL,5,14,200,,
HPPL,34,14,10,,
HPPL,34,14,25,,
GBLBS,28,45,100,,
API,6,45,500,,
NFS,56,58,50,,
NABBC,34,54,30,,
LGIL,38,5,500,,
AHPC,45,21,170,,
AHPC,11,21,200,,
AHPC,21,21,150,,
AHPC,58,21,30,,
AHPC,34,21,100,,
AHPC,50,21,10,,
AHPC,36,21,300,,
AHPC,14,21,100,,
AHPC,42,21,100,,
AHPC,49,21,300,,
AHPC,54,21,30,,
AHPC,45,21,10,,
SIFC,28,42,100,,
NUBL,32,51,100,,
NUBL,49,51,100,,
AHPC,45,53,90,,
AHPC,39,53,100,,
AHPC,55,53,200,,
AHPC,32,53,110,,
LUK,19,32,600,,
AHPC,32,58,90,,
MBJC,10,58,10,,
AHPC,58,58,10,,
