0,1,2,3,4,5
CCBL,41,19,10,,
GLH,5,39,10,,
UPPER,48,19,20,,
AKJCL,26,35,61,,
LEC,54,44,500,,
NHPC,58,52,100,,
ICFC,58,20,10,,
NHPC,58,13,200,,
MBJC,7,58,10,,
RSDC,58,17,200,,
NICL,58,36,56,,
GBBL,51,58,688,,
NICL,58,6,100,,
NICL,58,29,130,,
ADBL,58,49,30,,
GBBL,49,58,88,,
NICL,58,1,214,,
MEGA,58,37,83,,
GBBL,17,58,30,,
MLBL,33,29,200,,
SHPC,33,39,898,,
MLBL,33,44,480,,
SHPC,33,26,102,,
NCCB,26,49,200,,
MEGA,45,37,20,,
NLICL,41,45,10,,
SHINE,49,46,50,,
SADBL,48,16,200,,
BFC,48,21,70,,
GBBL,17,59,20,,
ICFC,57,4,20,,
ICFC,53,4,30,,
UPCL,56,28,10,,
KSBBL,25,22,100,,
ULI,1,32,120,,
GUFL,52,6,51,,
GUFL,39,6,54,,
GUFL,20,6,100,,
GUFL,6,6,300,,
GUFL,45,6,400,,
GUFL,52,6,95,,
IGI,38,45,30,,
IGI,38,59,20,,
MLBL,33,57,120,,
SSHL,25,45,28,,
SSHL,25,26,400,,
SPC,49,21,10,,
BFC,49,59,50,,
NLIC,49,3,10,,
AHPC,40,45,10,,
NUBL,44,34,100,,
SADBL,35,57,190,,
NYADI,41,52,10,,
NHDL,41,45,38,,
NIFRA,4,54,20,,
GBBL,4,59,30,,
SHINE,58,34,100,,
PMHPL,59,46,147,,
PMHPL,59,45,90,,
PMHPL,59,42,17,,
PMHPL,59,4,246,,
UNHPL,38,41,73,,
UNHPL,38,4,27,,
LLBS,47,38,42,,
UPCL,38,46,400,,
KSBBL,22,32,50,,
KSBBL,41,32,50,,
KSBBL,7,32,30,,
KSBBL,1,32,78,,
NCCB,56,49,10,,
ULI,1,32,10,,
ULI,1,46,10,,
ULI,1,25,10,,
ULI,1,34,50,,
MBJC,7,16,10,,
NMB50,16,34,10000,,
RLFL,8,57,200,,
HPPL,36,33,12,,
HPPL,36,59,220,,
NTC,51,17,630,,
NTC,58,17,300,,
MHNL,35,5,25,,
NTC,58,17,200,,
UPPER,48,17,143,,
NTC,49,17,270,,
UPPER,19,17,82,,
SADBL,35,44,30,,
SADBL,35,6,110,,
SADBL,35,35,100,,
SADBL,35,49,706,,
SHL,35,57,100,,
SADBL,35,50,1000,,
SHL,35,58,100,,
NIFRA,4,58,100,,
NIFRA,4,58,50,,
NIFRA,4,53,50,,
NIFRA,4,46,50,,
NIFRA,4,19,60,,
NIFRA,4,58,20,,
NIFRA,4,48,193,,
LEMF,54,47,100,,
NIFRA,34,48,10,,
