BStock,Buyer,BQty,SStock,Seller,SQty
ACLBSL,--,416,ACLBSL,--,416
ADBL,--,10784,ADBL,--,10784
ADLB,--,10,ADLB,--,10
AHPC,--,37455,AHPC,--,37455
AKJCL,--,15459,AKJCL,--,15459
AKPL,--,43062,AKPL,--,43062
ALBSL,--,916,ALBSL,--,916
ALICL,--,11850,ALICL,--,11850
API,--,78585,API,--,78585
BARUN,--,2895,BARUN,--,2895
BBC,--,200,BBC,--,200
BFC,--,5415,BFC,--,5415
BHDC,--,2090,BHDC,--,2090
BHL,--,2950,BHL,--,2950
BNHC,--,290,BNHC,--,290
BNT,--,135,BNT,--,135
BPCL,--,4788,BPCL,--,4788
CBBL,--,3377,CBBL,--,3377
CFCL,--,11575,CFCL,--,11575
CGH,--,900,CGH,--,900
CHCL,--,6779,CHCL,--,6779
CHDC,--,3975,CHDC,--,3975
CHL,--,5256,CHL,--,5256
CIT,--,1845,CIT,--,1845
CLBSL,--,120,CLBSL,--,120
CMF1,--,5000,CMF1,--,5000
CMF2,--,5000,CMF2,--,5000
CORBL,--,797,CORBL,--,797
CZBIL,--,12206,CZBIL,--,12206
DDBL,--,1750,DDBL,--,1750
DHPL,--,2960,DHPL,--,2960
DORDI,--,5590,DORDI,--,5590
EBL,--,5646,EBL,--,5646
EDBL,--,8234,EDBL,--,8234
ENL,--,580,ENL,--,580
FMDBL,--,2535,FMDBL,--,2535
FOWAD,--,3182,FOWAD,--,3182
GBBL,--,18268,GBBL,--,18268
GBILD86/87,--,25,GBILD86/87,--,25
GBLBS,--,745,GBLBS,--,745
GFCL,--,6317,GFCL,--,6317
GHL,--,13380,GHL,--,13380
GILB,--,768,GILB,--,768
GIMES1,--,29173,GIMES1,--,29173
GLH,--,2273,GLH,--,2273
GMFBS,--,66,GMFBS,--,66
GMFIL,--,13477,GMFIL,--,13477
GRDBL,--,10260,GRDBL,--,10260
GUFL,--,17770,GUFL,--,17770
GVL,--,4225,GVL,--,4225
GWFD83,--,30,GWFD83,--,30
HBL,--,2845,HBL,--,2845
HDHPC,--,19908,HDHPC,--,19908
HDL,--,7580,HDL,--,7580
HEI,--,21903,HEI,--,21903
HHL,--,3898,HHL,--,3898
HIDCL,--,47404,HIDCL,--,47404
HIDCLP,--,15000,HIDCLP,--,15000
HPPL,--,3670,HPPL,--,3670
HURJA,--,2550,HURJA,--,2550
ICFC,--,7911,ICFC,--,7911
ICFCD83,--,30,ICFCD83,--,30
IGI,--,3088,IGI,--,3088
ILBS,--,916,ILBS,--,916
JALPA,--,1175,JALPA,--,1175
JBBL,--,16130,JBBL,--,16130
JBBLPO,--,80000,JBBLPO,--,80000
JBLB,--,2937,JBLB,--,2937
JFL,--,2110,JFL,--,2110
JOSHI,--,10817,JOSHI,--,10817
JSLBB,--,281,JSLBB,--,281
KBL,--,13203,KBL,--,13203
KDBY,--,3120,KDBY,--,3120
KEF,--,23170,KEF,--,23170
KKHC,--,5672,KKHC,--,5672
KLBSL,--,49,KLBSL,--,49
KMCDB,--,1287,KMCDB,--,1287
KPCL,--,1995,KPCL,--,1995
KRBL,--,3509,KRBL,--,3509
KSBBL,--,8260,KSBBL,--,8260
LBBL,--,33933,LBBL,--,33933
LBL,--,8440,LBL,--,8440
LEC,--,2990,LEC,--,2990
LICN,--,2142,LICN,--,2142
LLBS,--,101,LLBS,--,101
LUK,--,1200,LUK,--,1200
MBJC,--,12057,MBJC,--,12057
MBL,--,7046,MBL,--,7046
MDB,--,2876,MDB,--,2876
MEN,--,670,MEN,--,670
MERO,--,818,MERO,--,818
MFIL,--,4325,MFIL,--,4325
MFLD85,--,75,MFLD85,--,75
MHL,--,3447,MHL,--,3447
MHNL,--,5610,MHNL,--,5610
MKJC,--,1741,MKJC,--,1741
MKLB,--,150,MKLB,--,150
MLBBL,--,60,MLBBL,--,60
MLBL,--,24727,MLBL,--,24727
